
T30 improved:  r_cont = (4 r64 - r32)/3 at matched s k^2
   s(32)  s(64)   s k^2 |   TT r32  TT r64  TT cont |   cf r32  cf r64  cf cont
     3.0   12.0   0.116 |   0.8512  0.9875   1.0329 |   8.8405  2.6898   0.6396
     4.0   16.0   0.154 |   0.9660  0.9833   0.9890 |   5.2591  2.0051   0.9204
     5.0   20.0   0.193 |   0.9794  0.9794   0.9794 |   3.7380  1.6984   1.0186
     6.0   24.0   0.231 |   0.9787  0.9758   0.9748 |   2.9495  1.5390   1.0688
     8.0   32.0   0.308 |   0.9713  0.9686   0.9676 |   2.1994  1.3952   1.1271
    10.0   40.0   0.386 |   0.9635  0.9614   0.9607 |   1.8723  1.3440   1.1679
    12.0   48.0   0.463 |   0.9560  0.9543   0.9537 |   1.7071  1.3287   1.2026
    16.0   64.0   0.617 |   0.9402  0.9390   0.9386 |   1.5674  1.3401   1.2643
    20.0   80.0   0.771 |   0.9127  0.9129   0.9130 |   1.5299  1.3746   1.3228

T30 plain:  r_cont = (4 r64 - r32)/3 at matched s k^2
   s(32)  s(64)   s k^2 |   TT r32  TT r64  TT cont |   cf r32  cf r64  cf cont
     3.0   12.0   0.116 |   5.2030  2.0843   1.0447 |  13.5276  3.4891   0.1429
     4.0   16.0   0.154 |   3.4618  1.6004   0.9800 |   7.5288  2.4452   0.7506
     5.0   20.0   0.193 |   2.5826  1.3749   0.9723 |   5.0874  1.9769   0.9401
     6.0   24.0   0.231 |   2.0931  1.2507   0.9700 |   3.8468  1.7311   1.0259
     8.0   32.0   0.308 |   1.5991  1.1238   0.9653 |   2.6805  1.5027   1.1101
    10.0   40.0   0.386 |   1.3662  1.0611   0.9594 |   2.1726  1.4127   1.1594
    12.0   48.0   0.463 |   1.2364  1.0238   0.9529 |   1.9128  1.3765   1.1978
    16.0   64.0   0.617 |   1.0986  0.9783   0.9383 |   1.6818  1.3672   1.2623
    20.0   80.0   0.771 |   1.0136  0.9380   0.9128 |   1.6033  1.3921   1.3218
