block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.9135184342284931,0.41801471699639575,0.33151796352873947,0.80423733166617151,0.3184580567409605,-13,-26,-52
1,0.91334774692762843,0.37326365007373946,0.31456154640451545,0.83112047870990624,0.28585638898829985,-13,-26,-52
2,0.91960628129267319,0.12385867536090564,0.069053433700506345,1.0017170427371589,0.26295964238146974,-13,-26,-52
3,0.91898042785616874,0.12841082875185814,0.058936763221395738,1.0126661337512859,0.27330683538949901,-13,-26,-52
4,0.91988364815657564,0.13652745054897308,0.061878513407786627,1.0295249136694109,0.2540709602641093,-13,-26,-52
5,0.91989076012744497,0.14343391297001495,0.056814709898171292,1.0351363770848212,0.25593463623584439,-13,-26,-52
6,0.9197271847974503,0.15031388338724594,0.05263027223854732,1.0482684209577038,0.25133515491890596,-13,-26,-52
7,0.91989076012744497,0.14791199716374936,0.055776267489428592,1.0552585932005369,0.24860348278179667,-13,-26,-52
8,0.92137005006827721,0.18021595986868535,0.10426161808632967,1.0708873896177122,0.21027893969736938,-13,-26,-52
9,0.92144828174783733,0.19536698286704782,0.11652783971718195,1.0564379944745201,0.20097487330309696,-13,-26,-52
10,0.92151228948566466,0.21370436848428134,0.094643214462961742,1.105150582189051,0.25691459741852679,-13,-26,-52
11,0.92171142467000677,0.21310037605902107,0.094267224772550548,1.1003918278627824,0.25581850709996967,-13,-26,-52
12,0.92171142467000677,0.22002655944173619,0.10896422302804512,1.1082723973924649,0.23688777285162552,-13,-26,-52
13,0.92171142467000677,0.21400361401928006,0.1861832818569793,1.032895414044176,0.14549862170800204,-13,-26,-52
14,0.92219503868912156,0.21218723038587053,0.17261373754754672,1.0367116610235834,0.13487413960628949,-13,-26,-52
15,0.92304136322257335,0.19632214033460141,0.1577137644849437,1.0339171769138833,0.13541104278799102,-13,-26,-52
16,0.9235320892125608,0.18929592562193928,0.16543288675645659,1.0205512681220426,0.13912220836724393,-13,-26,-52
17,0.92321916249431013,0.19044084874165243,0.18884904545590719,0.9928437758237576,0.14574751048423837,-13,-26,-52
18,0.92218081474738289,0.17555453485347045,0.18236896788343085,1.0035109171912409,0.15560121730700885,-13,-26,-52
19,0.92142694583522677,0.16793550781698507,0.14265317265717076,1.0835013433738625,0.16135322582320646,-13,-26,-52
20,0.92161185707783577,0.16664838112575159,0.11981051845313562,1.0906081256796669,0.19105303573083565,-13,-26,-52
21,0.92069441283568587,0.080743975579602403,0.17146159773516417,1.2682843541834661,0.19558671784215825,-13,-26,-43.0625
22,0.92222348657259912,0.034515064039721224,0.18254969764335352,1.3940069962365635,0.2376304630435358,-12.8984375,-26,-39.1015625
23,0.90973486572599227,0.15649468855570409,0.10982037057953138,1.3316379150220086,0.37245917092965219,0,-26,-52
24,0.91233429107874464,0.14713905569397626,0.31983614366088126,1.5730568248006338,0.37469509728267064,-11.8828125,-26,-52
25,0.91260810195721531,0.14651889698022325,0.3393665552540972,1.5978447740014594,0.37425102728372128,-13,-26,-52
26,0.91878840464269362,0.16882636637486947,0.2978044161675526,1.0623395492847298,0.27357970039865154,-13,-34.0234375,-43.9765625
27,0.92262175694128268,0.17997175035337395,0.26905125081156761,0.73387089572794684,0.21255055540756998,-13,-39,-39
28,0.92262175694128268,0.17997175035337395,0.26905125081156761,0.73387089572794684,0.21255055540756998,-13,-39,-39
29,0.92241550978607201,0.17301202816326391,0.28535748051347681,0.77056754322049492,0.19276309503313352,-13,-39,-39
30,0.92175409649522277,0.15111778590256278,0.3436973094197856,0.91413828821980436,0.10853426390082688,-13,-39,-39
31,0.92171142467000677,0.14457437365422612,0.3434358034331661,0.91474943108083084,0.10561399875994261,-13,-39,-39
32,0.9213700500682761,0.14180895984895051,0.3401055071927036,0.917871556123104,0.10608043116233032,-13,-39,-39
33,0.91946404187528497,0.13326503060622141,0.31285944668981641,0.85166673081497035,0.093231096072078037,-13,-39,-39
34,0.91898042785616874,0.12640937964000853,0.29725620503052858,0.81029465628393038,0.081571320759523974,-13,-39,-39
35,0.91849681383705162,0.11976036100625218,0.28113543092371457,0.85333707910713574,0.075138258452368212,-13,-39,-39
36,0.91777850477924527,0.11887774791327577,0.2789955051573233,0.85357835440163488,0.078331526164933121,-13,-39,-39
37,0.92038859808830442,0.13229302948899499,0.30294774321145768,1.0372954448358909,0.14323240671999116,-13,-39,-39
38,0.9230342512517048,0.16024154352688613,0.33933040213013671,1.2164905216421302,0.10563313414864296,-13,-39,-39
39,0.92420772644515403,0.15457936756505231,0.38935453576430973,1.2583919396047543,0.098393618253416762,-13,-39,-39
40,0.92368144060081747,0.1549864436178468,0.39835745137185685,1.2494747143662772,0.082839975141770619,-13,-39,-39
41,0.92139138598088499,0.1725779994940658,0.39425301615738417,1.1746722008880752,0.063086644127766503,-13,-39,-39
42,0.9212420345926271,0.18317805197575662,0.40246676902167727,1.0888797497032292,0.066952155468117711,-13,-39,-39
43,0.91979830450614364,0.17139797843846402,0.40010274134261775,1.0505795871501804,0.06706609604429134,-13,-39,-39
44,0.91920089895311807,0.13849570092938895,0.36311129108064932,1.1348980368610009,0.07338416092602687,-13,-35.140625,-42.859375
45,0.91882396449704018,0.072392942210870878,0.26249595987225233,1.1274430109277465,0.1212887668946258,-13,-26,-52
46,0.92262175694128268,0.13941974381177541,0.1705067098029231,0.59815555006857013,0.16794998392761321,-13,-26,-52
47,0.92262175694128268,0.14095219522488192,0.16837353364535348,0.59735169875336713,0.16551731829780067,-13,-26,-52
48,0.92262175694128268,0.1452684721920835,0.13899771182083986,0.61640328322224125,0.14688307490855326,-13,-26,-52
49,0.92262175694128268,0.1423123415624003,0.13737526986652351,0.63122401711464182,0.16050722512351609,-13,-26,-52
50,0.92314804278561424,0.13971788523585088,0.13718320469570422,0.62261795427482847,0.14573185255879373,-13,-26,-52
51,0.9235320892125608,0.13884558144180856,0.13751599004291717,0.60805761323695595,0.13885768993504174,-13,-26,-52
52,0.92420772644515403,0.13884558144180856,0.13751599004291717,0.60706849565839693,0.13941663341897612,-13,-26,-52
53,0.92444242148384304,0.13884558144180856,0.13751599004291717,0.60672490744689744,0.13961079273444807,-13,-26,-52
54,0.92380234410559658,0.1326527654298483,0.13472618200131523,0.60278592385774876,0.1475178661225035,-13,-26,-52
55,0.9235320892125608,0.13003802089146491,0.13354826305041684,0.60112279745344199,0.15085640821968246,-13,-26,-52
56,0.92428595812471692,0.13003802089146491,0.13354826305041684,0.6083126305180685,0.16014281451888643,-13,-26,-52
57,0.92391613563950592,0.12581692336516373,0.13147498228932969,0.60185541679969856,0.21111622308608996,-13,-26,-52
