block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.75431592961293392,0.31782178486280133,0.33526789813489316,0.2322266939162187,0.15330311923732004,79.1484375,37.640625,41.25
1,0.75389092369980837,0.84612435219491333,0.22192710834638896,0.15788511741777961,0.30383703141201179,45.6328125,-80.1796875,-41.765625
2,0.75479745805159004,0.21480006878752297,0.46640524981892623,0.55266952305233763,0.50555754678258868,-5.671875,76.0546875,41.5078125
3,0.75390309778223152,0.2122533289924371,0.57839215925376031,0.23971713921665871,0.28435097869165299,-23.4609375,55.9453125,109.3125
4,0.7534567872248662,0.40940419036143011,0.35137715279960713,0.39104473858941702,0.4879929483866729,-123.75,52.59375,-47.6953125
5,0.75456506351392671,0.47262969261488569,0.23050854431315948,0.28182677106663506,0.17902248451695282,30.421875,-78.6328125,-34.03125
6,0.755290943178339,0.24930317409950573,0.287341331383693,0.55732383489415815,0.37121442748559913,20.625,6.703125,-31.96875
7,0.75570073148843908,0.48689967424709896,0.35680422408054463,0.26363258067757223,0.26793871918151191,53.3671875,-74.5078125,35.3203125
8,0.75300938969585607,0.18381213844422964,0.40165748433207016,0.42593971120798108,0.39131409282967922,-37.640625,33.2578125,63.421875
9,0.75442006149650798,0.52310297246494963,0.31112691227815936,0.51519305960930428,0.40288109694392288,31.96875,70.3828125,164.2265625
10,0.75326808894732467,0.15834207101478243,0.30667291200936353,0.27479181766801047,0.27519553825544946,67.2890625,-17.53125,14.953125
11,0.75457680280769046,0.35502371198076049,0.3857311391740737,0.21268387271202296,0.44575714709801018,122.71875,63.9375,184.3359375
12,0.75159263085399397,0.25353984724706474,0.34212459298395531,0.14955110466339458,0.31427858709475137,101.8359375,14.1796875,59.8125
13,0.75324895824637494,0.26683859226990653,0.54248392752207519,0.3116850168176154,0.32111135596525336,21.140625,87.3984375,59.8125
14,0.75414353591006345,0.37973874510497424,0.83746233683077875,0.20822745728017358,0.5919572570933721,3.8671875,-137.671875,-41.5078125
