rho,S_x1,S_x2,S_xy1,S_xy2,Fx2_per_V,Fy2_per_V,Fz2_per_V,Fx_per_sqrtV,Fy_per_sqrtV,Fz_per_sqrtV
7.533813124999966249e-01,4.259275668559695527e-01,4.269701983023242442e-01,2.930488083753698958e-01,3.632352830215886397e-01,4.022656250000068434e-01,4.065624999999994937e-01,4.555859375000036460e-01,-1.246093750000007161e-01,-1.550781249999989841e-01,1.732421874999999500e-01
7.542143124999951542e-01,3.746979663673394301e-01,3.842610372082370662e-01,3.013896192438005328e-01,3.676551280371685992e-01,5.099999999999987876e-01,3.002343750000017741e-01,3.540234375000033129e-01,1.718749999999972036e-02,6.640624999999995837e-02,-8.496093749999950040e-02
7.549134374999995067e-01,4.128656094697518153e-01,4.390279654601069725e-01,4.175380268550036855e-01,4.495489758617501885e-01,3.389453125000074785e-01,3.412109375000016986e-01,3.795703124999995626e-01,-1.990234374999996225e-01,-7.792968750000117684e-02,6.542968750000038858e-02
7.544183124999997991e-01,3.759055852701384537e-01,3.080407234266677730e-01,3.291385781136498268e-01,3.495535088951444713e-01,3.807031250000055822e-01,3.726562499999994116e-01,4.653515625000047562e-01,-1.746093750000003719e-01,1.179687500000002054e-01,1.091796874999997335e-01
7.520622500000001542e-01,4.562743785694541865e-01,3.050395002574138315e-01,3.447484363473864444e-01,2.573216028528391153e-01,3.692578125000033906e-01,3.294921875000025313e-01,2.839843749999991229e-01,-1.236328125000004108e-01,1.466796875000007938e-01,1.371093749999999223e-01
7.530808750000040908e-01,4.702817769591045582e-01,4.187472619236636828e-01,3.453614914485597653e-01,3.809251791032065571e-01,3.938671875000091527e-01,5.673437500000001465e-01,4.009765625000022982e-01,-2.539062500000380859e-03,-3.464843750000015654e-01,-2.041015625000005274e-01
7.539257500000009493e-01,3.385467373327542551e-01,3.698363316813997326e-01,4.156745362332303073e-01,2.997361697877974906e-01,2.574999999999977862e-01,2.021093749999992306e-01,3.342187500000002864e-01,-1.160156249999999833e-01,-1.460937499999999667e-01,6.015625000000012629e-02
7.539580625000004144e-01,2.809693424997307676e-01,3.836136349163759562e-01,3.108053534650936922e-01,4.631403402330919739e-01,3.342187500000010636e-01,5.433593750000056399e-01,4.465234375000001199e-01,7.578124999999978628e-02,-8.085937500000014988e-02,2.011718749999856157e-02
7.540515624999996058e-01,2.636756817971565026e-01,3.887205011945011890e-01,3.010502044730146154e-01,3.787466217032237625e-01,3.970703125000034084e-01,3.630859375000021760e-01,3.321484375000043343e-01,-2.681640624999993561e-01,-2.480468749999925268e-02,2.673828125000005662e-01
7.543753750000036229e-01,3.405907942954878309e-01,4.493203397520608711e-01,3.105201570077322226e-01,3.125431519745569542e-01,3.167578125000031775e-01,2.815625000000011591e-01,3.598046875000048828e-01,6.816406250000035805e-02,-7.617187500000072164e-02,1.791015624999980071e-01
7.542229375000021330e-01,2.989419694819909767e-01,3.589547842918034415e-01,3.273774849954990129e-01,4.065648389997522649e-01,3.404687500000033173e-01,3.549218750000027733e-01,2.666015625000006106e-01,-3.125000000000081705e-03,-7.304687499999962252e-02,7.226562500000294383e-03
7.542001875000020616e-01,4.134773967042566500e-01,4.053099027182441305e-01,3.881591179857934448e-01,3.982915959646516901e-01,1.974218750000007461e-01,2.489453125000001266e-01,3.048437500000019118e-01,1.179687499999999278e-01,-1.013671875000001082e-01,-1.234375000000003941e-01
