N 4
site partner identity births_at_site
0 -1 -1 0
1 17 0 1
2 18 2 1
3 19 4 1
4 20 6 1
5 21 8 1
6 22 10 1
7 23 12 1
8 24 14 1
9 25 16 1
10 26 18 1
11 27 20 1
12 28 22 1
13 29 24 1
14 30 26 1
15 31 28 1
16 -1 -1 0
17 1 1 1
18 2 3 1
19 3 5 1
20 4 7 1
21 5 9 1
22 6 11 1
23 7 13 1
24 8 15 1
25 9 17 1
26 10 19 1
27 11 21 1
28 12 23 1
29 13 25 1
30 14 27 1
31 15 29 1
32 48 30 1
33 49 32 1
34 50 34 1
35 51 36 1
36 52 38 1
37 53 40 1
38 54 42 1
39 55 44 1
40 56 46 1
41 57 48 1
42 58 50 1
43 59 52 1
44 60 54 1
45 61 56 1
46 62 58 1
47 63 60 1
48 32 31 1
49 33 33 1
50 34 35 1
51 35 37 1
52 36 39 1
53 37 41 1
54 38 43 1
55 39 45 1
56 40 47 1
57 41 49 1
58 42 51 1
59 43 53 1
60 44 55 1
61 45 57 1
62 46 59 1
63 47 61 1
