N 4
site partner identity births_at_site
0 1 0 1
1 0 1 1
2 3 2 1
3 2 3 1
4 7 4 1
5 6 6 1
6 5 7 1
7 4 5 1
8 9 8 1
9 8 9 1
10 11 10 1
11 10 11 1
12 15 12 1
13 14 14 1
14 13 15 1
15 12 13 1
16 19 16 1
17 18 18 1
18 17 19 1
19 16 17 1
20 21 20 1
21 20 21 1
22 23 22 1
23 22 23 1
24 27 24 1
25 26 26 1
26 25 27 1
27 24 25 1
28 29 28 1
29 28 29 1
30 31 30 1
31 30 31 1
32 33 32 1
33 32 33 1
34 35 34 1
35 34 35 1
36 39 36 1
37 38 38 1
38 37 39 1
39 36 37 1
40 41 40 1
41 40 41 1
42 43 42 1
43 42 43 1
44 47 44 1
45 46 46 1
46 45 47 1
47 44 45 1
48 51 48 1
49 50 50 1
50 49 51 1
51 48 49 1
52 53 52 1
53 52 53 1
54 55 54 1
55 54 55 1
56 59 56 1
57 58 58 1
58 57 59 1
59 56 57 1
60 61 60 1
61 60 61 1
62 63 62 1
63 62 63 1
