N 6
site partner identity births_at_site
0 -1 -1 0
1 37 0 1
2 38 2 1
3 39 4 1
4 40 6 1
5 41 8 1
6 42 10 1
7 43 12 1
8 44 14 1
9 45 16 1
10 46 18 1
11 47 20 1
12 48 22 1
13 49 24 1
14 50 26 1
15 51 28 1
16 52 30 1
17 53 32 1
18 54 34 1
19 55 36 1
20 56 38 1
21 57 40 1
22 58 42 1
23 59 44 1
24 60 46 1
25 61 48 1
26 62 50 1
27 63 52 1
28 64 54 1
29 65 56 1
30 66 58 1
31 67 60 1
32 68 62 1
33 69 64 1
34 70 66 1
35 71 68 1
36 -1 -1 0
37 1 1 1
38 2 3 1
39 3 5 1
40 4 7 1
41 5 9 1
42 6 11 1
43 7 13 1
44 8 15 1
45 9 17 1
46 10 19 1
47 11 21 1
48 12 23 1
49 13 25 1
50 14 27 1
51 15 29 1
52 16 31 1
53 17 33 1
54 18 35 1
55 19 37 1
56 20 39 1
57 21 41 1
58 22 43 1
59 23 45 1
60 24 47 1
61 25 49 1
62 26 51 1
63 27 53 1
64 28 55 1
65 29 57 1
66 30 59 1
67 31 61 1
68 32 63 1
69 33 65 1
70 34 67 1
71 35 69 1
72 108 70 1
73 109 72 1
74 110 74 1
75 111 76 1
76 112 78 1
77 113 80 1
78 114 82 1
79 115 84 1
80 116 86 1
81 117 88 1
82 118 90 1
83 119 92 1
84 120 94 1
85 121 96 1
86 122 98 1
87 123 100 1
88 124 102 1
89 125 104 1
90 126 106 1
91 127 108 1
92 128 110 1
93 129 112 1
94 130 114 1
95 131 116 1
96 132 118 1
97 133 120 1
98 134 122 1
99 135 124 1
100 136 126 1
101 137 128 1
102 138 130 1
103 139 132 1
104 140 134 1
105 141 136 1
106 142 138 1
107 143 140 1
108 72 71 1
109 73 73 1
110 74 75 1
111 75 77 1
112 76 79 1
113 77 81 1
114 78 83 1
115 79 85 1
116 80 87 1
117 81 89 1
118 82 91 1
119 83 93 1
120 84 95 1
121 85 97 1
122 86 99 1
123 87 101 1
124 88 103 1
125 89 105 1
126 90 107 1
127 91 109 1
128 92 111 1
129 93 113 1
130 94 115 1
131 95 117 1
132 96 119 1
133 97 121 1
134 98 123 1
135 99 125 1
136 100 127 1
137 101 129 1
138 102 131 1
139 103 133 1
140 104 135 1
141 105 137 1
142 106 139 1
143 107 141 1
144 180 142 1
145 181 144 1
146 182 146 1
147 183 148 1
148 184 150 1
149 185 152 1
150 186 154 1
151 187 156 1
152 188 158 1
153 189 160 1
154 190 162 1
155 191 164 1
156 192 166 1
157 193 168 1
158 194 170 1
159 195 172 1
160 196 174 1
161 197 176 1
162 198 178 1
163 199 180 1
164 200 182 1
165 201 184 1
166 202 186 1
167 203 188 1
168 204 190 1
169 205 192 1
170 206 194 1
171 207 196 1
172 208 198 1
173 209 200 1
174 210 202 1
175 211 204 1
176 212 206 1
177 213 208 1
178 214 210 1
179 215 212 1
180 144 143 1
181 145 145 1
182 146 147 1
183 147 149 1
184 148 151 1
185 149 153 1
186 150 155 1
187 151 157 1
188 152 159 1
189 153 161 1
190 154 163 1
191 155 165 1
192 156 167 1
193 157 169 1
194 158 171 1
195 159 173 1
196 160 175 1
197 161 177 1
198 162 179 1
199 163 181 1
200 164 183 1
201 165 185 1
202 166 187 1
203 167 189 1
204 168 191 1
205 169 193 1
206 170 195 1
207 171 197 1
208 172 199 1
209 173 201 1
210 174 203 1
211 175 205 1
212 176 207 1
213 177 209 1
214 178 211 1
215 179 213 1
