N 6
site partner identity births_at_site
0 36 0 1
1 181 2 1
2 38 4 1
3 183 6 1
4 40 8 1
5 185 10 1
6 186 12 1
7 43 14 1
8 188 16 1
9 45 18 1
10 190 20 1
11 47 22 1
12 48 24 1
13 193 26 1
14 50 28 1
15 195 30 1
16 52 32 1
17 197 34 1
18 198 36 1
19 55 38 1
20 200 40 1
21 57 42 1
22 202 44 1
23 59 46 1
24 60 48 1
25 205 50 1
26 62 52 1
27 207 54 1
28 64 56 1
29 209 58 1
30 210 60 1
31 67 62 1
32 212 64 1
33 69 66 1
34 214 68 1
35 71 70 1
36 0 1 1
37 73 72 1
38 2 5 1
39 75 74 1
40 4 9 1
41 77 76 1
42 78 78 1
43 7 15 1
44 80 80 1
45 9 19 1
46 82 82 1
47 11 23 1
48 12 25 1
49 85 84 1
50 14 29 1
51 87 86 1
52 16 33 1
53 89 88 1
54 90 90 1
55 19 39 1
56 92 92 1
57 21 43 1
58 94 94 1
59 23 47 1
60 24 49 1
61 97 96 1
62 26 53 1
63 99 98 1
64 28 57 1
65 101 100 1
66 102 102 1
67 31 63 1
68 104 104 1
69 33 67 1
70 106 106 1
71 35 71 1
72 108 108 1
73 37 73 1
74 110 110 1
75 39 75 1
76 112 112 1
77 41 77 1
78 42 79 1
79 115 114 1
80 44 81 1
81 117 116 1
82 46 83 1
83 119 118 1
84 120 120 1
85 49 85 1
86 122 122 1
87 51 87 1
88 124 124 1
89 53 89 1
90 54 91 1
91 127 126 1
92 56 93 1
93 129 128 1
94 58 95 1
95 131 130 1
96 132 132 1
97 61 97 1
98 134 134 1
99 63 99 1
100 136 136 1
101 65 101 1
102 66 103 1
103 139 138 1
104 68 105 1
105 141 140 1
106 70 107 1
107 143 142 1
108 72 109 1
109 145 144 1
110 74 111 1
111 147 146 1
112 76 113 1
113 149 148 1
114 150 150 1
115 79 115 1
116 152 152 1
117 81 117 1
118 154 154 1
119 83 119 1
120 84 121 1
121 157 156 1
122 86 123 1
123 159 158 1
124 88 125 1
125 161 160 1
126 162 162 1
127 91 127 1
128 164 164 1
129 93 129 1
130 166 166 1
131 95 131 1
132 96 133 1
133 169 168 1
134 98 135 1
135 171 170 1
136 100 137 1
137 173 172 1
138 174 174 1
139 103 139 1
140 176 176 1
141 105 141 1
142 178 178 1
143 107 143 1
144 180 180 1
145 109 145 1
146 182 182 1
147 111 147 1
148 184 184 1
149 113 149 1
150 114 151 1
151 187 186 1
152 116 153 1
153 189 188 1
154 118 155 1
155 191 190 1
156 192 192 1
157 121 157 1
158 194 194 1
159 123 159 1
160 196 196 1
161 125 161 1
162 126 163 1
163 199 198 1
164 128 165 1
165 201 200 1
166 130 167 1
167 203 202 1
168 204 204 1
169 133 169 1
170 206 206 1
171 135 171 1
172 208 208 1
173 137 173 1
174 138 175 1
175 211 210 1
176 140 177 1
177 213 212 1
178 142 179 1
179 215 214 1
180 144 181 1
181 1 3 1
182 146 183 1
183 3 7 1
184 148 185 1
185 5 11 1
186 6 13 1
187 151 187 1
188 8 17 1
189 153 189 1
190 10 21 1
191 155 191 1
192 156 193 1
193 13 27 1
194 158 195 1
195 15 31 1
196 160 197 1
197 17 35 1
198 18 37 1
199 163 199 1
200 20 41 1
201 165 201 1
202 22 45 1
203 167 203 1
204 168 205 1
205 25 51 1
206 170 207 1
207 27 55 1
208 172 209 1
209 29 59 1
210 30 61 1
211 175 211 1
212 32 65 1
213 177 213 1
214 34 69 1
215 179 215 1
