time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,216,648,0,0,0,0,0
0.0077809197368626836,2,214,637,10,1,0,0,1
0.014781644987335234,4,212,626,20,2,0,0,1
0.01758254474858606,6,210,615,30,3,0,0,1
0.020199563350293669,8,208,605,38,4,0,0,1
0.023691725396649505,10,206,594,48,5,0,0,1
0.02496850184683758,12,204,584,56,6,0,0,1
0.028681309338382074,14,202,574,64,7,0,0,1
0.031288327569638036,16,200,563,74,8,2,0,1
0.034720197911476687,18,198,552,84,9,2,0,1
0.038985771455572173,20,196,541,94,10,2,0,1
0.040829162936418584,22,194,532,100,11,3,0,1
0.047676683393713455,24,192,519,114,12,4,0,1
0.053071172003617946,26,190,510,120,13,5,0,1
0.071480206874002375,28,188,501,126,14,7,0,1
0.072550577485790621,30,186,490,136,15,7,0,1
0.081350258874940823,32,184,480,144,16,10,0,1
0.086687452988869276,34,182,470,152,17,12,0,1
0.099168988100857031,36,180,461,158,18,16,0,1
0.10638862715667059,38,178,454,160,19,18,0,1
0.1127006538531202,40,176,446,164,20,19,0,1
0.11431924879533971,42,174,438,168,21,19,0,1
0.11553178550555908,44,172,431,170,22,19,0,1
0.12290688954274033,46,170,423,174,23,23,0,1
0.13258484581272703,48,168,412,184,24,25,0,1
0.14025393060120525,50,166,402,192,25,30,0,1
0.14055227429745371,52,164,394,196,26,30,1,2
0.14223390299675698,54,162,384,204,27,30,1,2
0.14752681405294857,56,160,377,206,28,30,1,2
0.15478744896729557,58,158,361,226,29,34,1,2
0.16638798503174373,60,156,356,224,30,42,2,2
0.16685534889757003,62,154,347,230,31,42,2,2
0.1818663037758467,64,152,339,234,32,54,2,2
0.18522480440396308,66,150,326,248,33,55,2,2
0.20475597876628016,68,148,320,248,34,65,2,2
0.2171595963414524,70,146,314,248,35,70,2,2
0.22666348859466615,72,144,306,252,36,76,3,2
0.22892554806684254,74,142,301,250,37,78,5,2
0.24036904676792539,76,140,296,248,38,81,5,2
0.24847351942705243,78,138,292,244,39,85,5,2
0.26381233380460739,80,136,283,250,40,96,5,2
0.26897397872849688,82,134,273,258,41,98,5,2
0.28604742634064523,84,132,260,272,42,106,6,2
0.28870745326261904,86,130,252,276,43,107,6,2
0.32020971483309829,88,128,245,278,44,117,7,2
0.3282665607089873,90,126,240,276,45,121,7,2
0.32884766956049127,92,124,229,286,46,122,7,2
0.36544694457500193,94,122,222,288,47,139,9,2
0.3846885603177112,96,120,224,272,48,156,10,3
0.40160526585561956,98,118,211,286,49,171,11,3
0.42723182255493947,100,116,202,292,50,180,12,3
0.47450850781571507,102,114,190,304,51,209,13,3
0.4837252050057384,104,112,186,300,52,212,13,3
0.48389489844197392,106,110,179,302,53,212,13,3
0.49764884621686645,108,108,173,302,54,219,13,3
0.5058081613496398,110,106,167,302,55,221,13,3
0.51855476177019311,112,104,161,302,56,228,14,3
0.53189018370571062,114,102,155,302,57,231,15,3
0.56743674308012881,116,100,151,298,58,256,17,3
0.59415075915738491,118,98,148,292,59,279,18,3
0.61391357889441933,120,96,141,294,60,291,18,3
0.65305072684023491,122,94,127,310,61,322,19,3
0.6602405365966848,124,92,123,306,62,329,19,3
0.68962561214108142,126,90,120,300,63,344,19,3
0.76109000586083309,128,88,127,274,64,385,21,3
0.77518638697025999,130,86,118,280,65,392,22,3
0.77980356334403733,132,84,107,290,66,394,22,3
0.80410887992205826,134,82,104,284,67,412,23,3
0.82545503953001687,136,80,103,274,68,424,24,3
0.84193408696930971,138,78,98,272,69,438,26,3
0.9026204572731068,140,76,78,300,70,466,27,3
1.0215464918520618,142,74,84,276,71,523,27,3
1.0899330198539856,144,72,84,264,72,568,28,3
1.2053354436298118,146,70,72,276,73,637,29,3
1.2688231882527476,148,68,69,270,74,666,29,3
1.3481346359784174,150,66,59,278,75,706,30,3
1.4183764543117932,152,64,56,272,76,744,31,3
1.4544395232417866,154,62,50,272,77,767,31,3
1.4641812980515736,156,60,47,266,78,770,33,3
1.4713039427250973,158,58,46,256,79,776,34,4
1.4950507732575034,160,56,44,248,80,790,35,4
1.5073542362844374,162,54,42,240,81,802,35,4
1.5220427790842339,164,52,37,238,82,804,35,4
1.5576463601930304,166,50,36,228,83,820,37,4
1.651994383714869,168,48,32,224,84,864,37,4
1.7242475091052305,170,46,28,220,85,892,39,4
1.7676315603901473,172,44,33,198,86,903,40,4
2.0173458454114148,174,42,25,202,87,994,42,4
2.3580694265774369,176,40,24,192,88,1125,44,4
2.5886932066307464,178,38,20,188,89,1220,45,4
2.841610129528878,180,36,15,186,90,1313,46,4
2.8960003193134249,182,34,13,178,91,1327,48,4
3.1687081143744131,184,32,15,162,92,1424,50,4
3.2116649361863185,186,30,15,150,93,1442,51,4
3.422826876594212,188,28,15,138,94,1508,52,4
3.4995674057989699,190,26,15,126,95,1531,54,4
3.6424095994075936,192,24,6,132,96,1566,56,5
3.9178563642644351,194,22,5,122,97,1635,57,5
4.178789269323202,196,20,6,108,98,1703,59,5
4.4793857881508714,198,18,4,100,99,1774,59,5
6.2596489920419485,200,16,2,92,100,2110,59,5
6.9702023999057685,202,14,3,78,101,2225,59,5
8.9394037354583133,204,12,2,68,102,2531,60,5
9.6785241868348866,206,10,1,58,103,2637,62,5
15.554774005343011,208,8,1,46,104,3332,63,5
18.257306337135674,210,6,1,34,105,3618,65,5
19.542577963811997,212,4,0,24,106,3690,66,5
34.12496710792675,214,2,0,12,107,4402,68,5
35.985271646738006,216,0,0,0,108,4441,68,5
