time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,4096,12288,0,0,0,0,0
0.014196453253218898,40,4056,12070,196,20,0,0,1
0.029497597031993113,80,4016,11852,392,40,5,0,1
0.046268674136770667,120,3976,11632,592,60,13,0,1
0.062543593953164611,160,3936,11424,768,80,26,0,1
0.075086657203455989,200,3896,11208,960,100,35,0,1
0.089408576483031618,240,3856,11001,1134,120,53,0,1
0.098680576275336843,280,3816,10794,1308,140,62,0,1
0.11571547102448708,320,3776,10588,1480,160,79,0,1
0.13476968154098123,360,3736,10385,1646,180,106,2,2
0.15161743132247088,400,3696,10173,1830,200,130,2,2
0.16631039882504681,440,3656,9974,1988,220,157,3,2
0.18572503497801798,480,3616,9770,2156,240,193,3,2
0.21388877683725141,520,3576,9580,2296,260,251,6,2
0.24068972195016461,560,3536,9371,2474,280,319,6,2
0.26328624479514839,600,3496,9161,2654,300,372,8,2
0.28732179170487543,640,3456,8966,2804,320,430,11,2
0.30443954199354212,680,3416,8769,2958,340,495,12,2
0.33054566110737571,720,3376,8573,3110,360,574,13,2
0.35595148698998103,760,3336,8382,3252,380,636,16,2
0.38506276430090103,800,3296,8210,3356,400,732,21,3
0.41686958213424841,840,3256,8016,3504,420,845,26,3
0.44681733712365163,880,3216,7848,3600,440,944,32,3
0.47336865485009338,920,3176,7691,3674,460,1031,38,3
0.50390219820459936,960,3136,7501,3814,480,1130,48,3
0.53357348267463556,1000,3096,7330,3916,500,1229,54,3
0.56785274819023634,1040,3056,7176,3984,520,1367,62,3
0.59312654226471884,1080,3016,7006,4084,540,1468,69,3
0.62077320635385957,1120,2976,6852,4152,560,1581,72,3
0.66972956086119018,1160,2936,6660,4296,580,1767,81,3
0.69728154489736416,1200,2896,6487,4402,600,1878,87,3
0.72892396300410311,1240,2856,6323,4490,620,2018,94,3
0.75498317272575155,1280,2816,6169,4558,640,2135,99,3
0.79449267828811188,1320,2776,6004,4648,660,2310,108,3
0.83403554265962088,1360,2736,5825,4766,680,2476,118,3
0.87568798915418555,1400,2696,5684,4808,700,2668,128,3
0.90790964978701127,1440,2656,5529,4878,720,2802,142,4
0.93284715313733813,1480,2616,5347,5002,740,2903,147,4
0.96973266716306594,1520,2576,5187,5082,760,3108,155,4
1.0043225427817775,1560,2536,5019,5178,780,3281,177,4
1.0323011187487159,1600,2496,4865,5246,800,3450,192,4
1.0732942443097346,1640,2456,4699,5338,820,3672,201,4
1.1116069985917225,1680,2416,4563,5370,840,3876,213,4
1.1475474923367923,1720,2376,4424,5408,860,4070,226,4
1.1841041295155883,1760,2336,4276,5464,880,4282,237,4
1.2221326782683608,1800,2296,4160,5456,900,4491,252,4
1.2659712643365877,1840,2256,4034,5468,920,4726,270,4
1.3119338644626957,1880,2216,3880,5536,940,4972,290,4
1.3631825998805187,1920,2176,3776,5504,960,5258,301,4
1.4114884070483364,1960,2136,3636,5544,980,5562,312,4
1.4772145172461142,2000,2096,3503,5570,1000,5955,323,4
1.5274874638962006,2040,2056,3346,5644,1020,6210,334,4
1.579459042911951,2080,2016,3238,5620,1040,6507,349,4
1.6463240212595409,2120,1976,3108,5640,1060,6933,361,4
1.6989782930378532,2160,1936,2995,5626,1080,7214,379,4
1.7605033091227082,2200,1896,2891,5594,1100,7566,398,4
1.8367917029879322,2240,1856,2796,5544,1120,7997,419,4
1.9068447954535768,2280,1816,2656,5584,1140,8395,431,4
1.973909572516015,2320,1776,2566,5524,1160,8756,448,4
2.0436796358812472,2360,1736,2428,5560,1180,9133,464,4
2.1353969539394835,2400,1696,2329,5518,1200,9641,486,4
2.217875684223392,2440,1656,2207,5522,1220,10100,499,4
2.3108501231039993,2480,1616,2110,5476,1240,10585,509,4
2.4081913204639465,2520,1576,2005,5446,1260,11137,523,4
2.5005860669541997,2560,1536,1923,5370,1280,11646,539,4
2.627865338506818,2600,1496,1855,5266,1300,12241,564,4
2.7004674719351414,2640,1456,1744,5248,1320,12618,585,4
2.8609445640913118,2680,1416,1703,5090,1340,13462,600,4
2.9785845711030228,2720,1376,1606,5044,1360,14021,622,4
3.1351609176649333,2760,1336,1478,5060,1380,14862,637,4
3.2792239837995378,2800,1296,1388,5000,1400,15523,662,4
3.3859448133960424,2840,1256,1309,4918,1420,16039,684,4
3.5324132661606313,2880,1216,1257,4782,1440,16821,707,4
3.632703890932091,2920,1176,1197,4662,1460,17292,729,5
3.7551453988786698,2960,1136,1117,4582,1480,17886,755,5
3.9306538908845345,3000,1096,1043,4490,1500,18686,776,5
4.1130906969733898,3040,1056,929,4478,1520,19476,799,5
4.4359772102268815,3080,1016,893,4310,1540,20934,822,5
4.6166459895489051,3120,976,825,4206,1560,21682,841,5
4.8778959035738545,3160,936,742,4132,1580,22722,865,5
5.1037218225980041,3200,896,639,4098,1600,23666,893,5
5.5266139305662669,3240,856,625,3886,1620,25302,911,5
5.8384441168172732,3280,816,592,3712,1640,26523,931,5
6.1337421720127976,3320,776,502,3652,1660,27641,953,5
6.4900810197883132,3360,736,500,3416,1680,28853,968,5
6.9767242377177467,3400,696,461,3254,1700,30473,992,5
7.4264415011101885,3440,656,380,3176,1720,31883,1012,5
8.155589450587545,3480,616,319,3058,1740,34142,1038,5
8.8410619848901177,3520,576,259,2938,1760,36175,1056,5
9.3912405109154697,3560,536,285,2646,1780,37667,1080,5
10.087129548311321,3600,496,227,2522,1800,39469,1101,5
10.754526981228468,3640,456,181,2374,1820,41147,1124,5
11.90641499637808,3680,416,155,2186,1840,43821,1146,5
13.05840419992137,3720,376,137,1982,1860,46174,1169,5
14.134507090832356,3760,336,95,1826,1880,48089,1191,5
15.771857810580505,3800,296,86,1604,1900,50882,1212,5
18.795918427927337,3840,256,59,1418,1920,55332,1238,5
22.944952627938065,3880,216,50,1196,1940,60719,1264,6
28.2031738822295,3920,176,39,978,1960,66488,1284,6
37.053543047106267,3960,136,13,790,1980,74267,1307,6
52.427972657405569,4000,96,12,552,2000,84449,1333,6
87.267948422705828,4040,56,1,334,2020,99072,1362,6
139.02959267073041,4064,32,1,190,2032,113025,1383,6
145.75663336575823,4066,30,3,174,2033,114349,1384,6
148.41037386544215,4068,28,0,168,2034,114832,1386,6
168.941424600338,4070,26,2,152,2035,118276,1388,6
169.88700173522014,4072,24,0,144,2036,118425,1388,6
193.41035809770085,4074,22,0,132,2037,121812,1388,6
230.06170306785242,4076,20,0,120,2038,126637,1389,6
238.37786425230743,4078,18,1,106,2039,127640,1391,6
264.38807315479738,4080,16,0,96,2040,130534,1391,6
352.77496727219244,4082,14,0,84,2041,138912,1392,6
369.37431503069269,4084,12,0,72,2042,140268,1392,6
493.39540222944657,4086,10,1,58,2043,148974,1394,6
638.20329333675397,4088,8,0,48,2044,157739,1394,6
709.07713306754363,4090,6,0,36,2045,161165,1395,6
757.84184055914602,4092,4,0,24,2046,163048,1397,6
1629.9169148947647,4094,2,0,12,2047,183880,1398,6
1848.2543128820814,4096,0,0,0,2048,186488,1399,6
