time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,32768,98304,0,0,0,0,0
0.0016071276721622884,326,32442,96520,1612,163,0,0,1
0.0033246038409940055,652,32116,94747,3202,326,3,0,1
0.0049416779198752639,978,31790,92986,4768,489,7,0,1
0.0068499217602451725,1304,31464,91231,6322,652,16,0,1
0.0086716619719888425,1630,31138,89498,7832,815,36,1,2
0.010491606153941131,1956,30812,87776,9320,978,46,1,2
0.012666476477421086,2282,30486,86064,10788,1141,64,1,2
0.014470434703851169,2608,30160,84377,12206,1304,96,1,2
0.016236992982557909,2934,29834,82703,13598,1467,116,1,2
0.018032461264678324,3260,29508,81046,14956,1630,137,3,2
0.019689857339835797,3586,29182,79403,16286,1793,160,4,2
0.021979921873815044,3912,28856,77753,17630,1956,200,5,2
0.024492722689408501,4238,28530,76157,18866,2119,238,8,2
0.026720224791624992,4564,28204,74541,20142,2282,288,9,2
0.028939466093499351,4890,27878,72943,21382,2445,334,14,2
0.031289439259481397,5216,27552,71358,22596,2608,380,18,2
0.033474551064703359,5542,27226,69809,23738,2771,439,22,2
0.036167562620003632,5868,26900,68289,24822,2934,508,28,2
0.038656191744123054,6194,26574,66743,25958,3097,562,30,2
0.041237251356665498,6520,26248,65240,27008,3260,632,34,2
0.043961677477688109,6846,25922,63734,28064,3423,702,42,2
0.046447363621665877,7172,25596,62242,29092,3586,768,47,2
0.049220131665126642,7498,25270,60760,30100,3749,830,57,2
0.051792308647191622,7824,24944,59323,31018,3912,908,72,3
0.054700988041885723,8150,24618,57901,31906,4075,1005,79,3
0.05767035016335207,8476,24292,56418,32916,4238,1094,85,3
0.060421669486443175,8802,23966,54987,33822,4401,1186,91,3
0.06333124770758089,9128,23640,53581,34678,4564,1285,107,3
0.066399832610264192,9454,23314,52215,35454,4727,1398,120,3
0.069625645259247568,9780,22988,50868,36192,4890,1517,137,3
0.073027955023036967,10106,22662,49514,36944,5053,1671,150,3
0.076557898894399443,10432,22336,48153,37710,5216,1803,163,3
0.07985711563262414,10758,22010,46843,38374,5379,1925,180,3
0.083374293868077251,11084,21684,45563,38978,5542,2064,202,3
0.086878056933827802,11410,21358,44265,39618,5705,2188,227,3
0.090719899791958394,11736,21032,42979,40234,5868,2328,251,3
0.094991467990585152,12062,20706,41694,40848,6031,2507,284,3
