time,occupied,vacancies,births,translations,cube_exchanges,parallel_swaps,attempts,reused_sites,max_site_births,nx,ny,nz,ST1,SL1,ST2,SL2,zero_mode_power
0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,9.1097114310124617e-38,9.1097114310124606e-38,0
0.01,34,478,17,0,0,0,69,0,1,5,6,6,0.015085659423993368,0.003320641317310114,0.009765625,0.0071614583333333356,0.0097656249999999948
0.013433993325989003,42,470,21,0,0,0,89,0,1,6,8,7,0.018689522644001658,0.0070034891359900507,0.015625,0.0097656250000000017,0.0097656249999999913
0.018047217668271703,56,456,28,0,0,0,117,0,1,8,9,11,0.034393507242673302,0.0052737663173101131,0.013020833333333329,0.010416666666666671,0.011718749999999997
0.024244620170823288,62,450,31,1,0,0,156,0,1,10,9,12,0.042284991841344946,0.0051620652266500811,0.018229166666666664,0.0071614583333333374,0.0097656249999999948
0.032570206556597835,80,432,40,6,0,0,205,0,1,12,12,16,0.025344356893316742,0.02435821195466998,0.018229166666666668,0.016927083333333353,0.039062499999999986
0.043754793750741858,96,416,48,9,0,0,255,1,2,14,15,19,0.031887490051971806,0.015058556194603638,0.033203125,0.0234375,0.058593749999999993
0.058780160722749122,118,394,59,13,0,0,354,1,2,17,19,23,0.034189269938646766,0.011737914877293533,0.038411458333333336,0.030598958333333325,0.037109374999999979
0.07896522868499728,138,374,69,16,0,0,467,2,2,22,23,24,0.053352700174678275,0.023391231893316752,0.037760416666666657,0.027994791666666657,0.087890624999999944
0.10608183551394484,180,332,90,22,0,0,646,2,2,27,29,34,0.048209799825321725,0.06135588586400996,0.067057291666666657,0.020833333333333332,0.10546874999999997
0.14251026703029981,228,284,114,40,0,0,900,8,2,33,38,43,0.052345065269240459,0.040560882285263708,0.058593750000000014,0.04166666666666665,0.0039062500000000017
0.19144819761699583,278,234,139,59,0,2,1213,14,3,42,46,51,0.056605583418514099,0.063162268191864004,0.12174479166666667,0.038411458333333315,0.525390625
0.25719138090593457,326,186,163,77,0,2,1595,24,3,50,49,64,0.059768255538480933,0.056390119589290244,0.10221354166666663,0.07486979166666663,1.345703125
0.34551072945922184,348,164,174,96,0,5,2184,32,3,52,53,69,0.09529232530244941,0.064368527138729703,0.083984375,0.09635416666666663,0.31640624999999994
0.46415888336127786,372,140,186,120,1,10,2860,39,3,58,55,73,0.14694473097733504,0.064052588744043126,0.086588541666666657,0.088541666666666644,0.24609374999999983
0.6235507341273917,406,106,203,155,3,15,3854,53,3,67,57,79,0.1692899982106269,0.095032918456039825,0.10611979166666669,0.046223958333333322,0.55273437499999956
0.83767764006829171,422,90,211,193,8,17,5188,65,3,68,61,82,0.21010932425869655,0.1274812390508093,0.185546875,0.069661458333333315,0.37695312499999989
1.1253355826007647,436,76,218,233,9,17,6963,74,3,72,63,83,0.15410618931066838,0.15576486588277277,0.16731770833333331,0.082031250000000028,0.43359374999999972
1.5117750706156634,456,56,228,260,11,20,9245,83,3,75,68,85,0.13783014764400175,0.12765837312544612,0.10351562499999997,0.079427083333333329,1.0898437499999996
2.0309176209047357,468,44,234,295,13,21,12506,89,3,77,70,87,0.22160699716687404,0.14524443647754232,0.11132812499999997,0.033854166666666657,1.33984375
2.7283333764867685,474,38,237,338,16,21,16648,94,3,78,72,87,0.17933323185072644,0.12712697090153569,0.13216145833333329,0.041015625000000014,1.111328125
3.6652412370796288,484,28,242,370,22,21,22298,97,3,80,72,90,0.1670592645705273,0.066302487261436199,0.13802083333333331,0.019531250000000003,0.51562499999999967
4.9238826317067366,488,24,244,418,31,25,30096,97,3,81,73,90,0.1397730092024079,0.07871854703478609,0.078124999999999972,0.024739583333333325,0.55859375
6.6147406412301519,496,16,248,453,45,26,40386,100,3,83,75,90,0.14491358446226704,0.066302487261436158,0.099609374999999972,0.010416666666666664,1.0898437499999996
8.8862381627433997,496,16,248,484,55,27,54259,100,3,83,75,90,0.17896870025985906,0.028896338744043119,0.094401041666666657,0.02604166666666665,0.77734375
11.93776641714436,498,14,249,526,71,27,72937,101,3,83,76,90,0.17204980898513936,0.044725576048069642,0.11197916666666663,0.025390624999999993,0.66601562499999956
16.0371874375133,500,12,250,578,101,29,98044,103,3,83,76,91,0.26199964681320081,0.073128842322789406,0.13281249999999994,0.018229166666666664,0.24609374999999986
