P5 (forest True), (p,q,r) = (3, 1, 2): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 16; distinct formation laws 5
P5 (forest True), (p,q,r) = (2, 2, 1): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 16; distinct formation laws 5
P5 (forest True), (p,q,r) = (2, 1, 1): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 16; distinct formation laws 5
P5 (forest True), (p,q,r) = (1, 2, 3): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 16; distinct formation laws 5
P5 (forest True), (p,q,r) = (5, 2, 4): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 16; distinct formation laws 5
P5 (forest True), (p,q,r) = (2, 2, 2): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 120; distinct formation laws 1
star5 (forest True), (p,q,r) = (3, 1, 2): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 48; distinct formation laws 12
star5 (forest True), (p,q,r) = (2, 2, 1): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 48; distinct formation laws 12
star5 (forest True), (p,q,r) = (2, 1, 1): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 48; distinct formation laws 12
star5 (forest True), (p,q,r) = (1, 2, 3): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 48; distinct formation laws 12
star5 (forest True), (p,q,r) = (5, 2, 4): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 48; distinct formation laws 12
star5 (forest True), (p,q,r) = (2, 2, 2): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 120; distinct formation laws 1
C5 (forest False), (p,q,r) = (3, 1, 2): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 10
C5 (forest False), (p,q,r) = (2, 2, 1): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 10
C5 (forest False), (p,q,r) = (2, 1, 1): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 10
C5 (forest False), (p,q,r) = (1, 2, 3): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 10
C5 (forest False), (p,q,r) = (5, 2, 4): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 10
C5 (forest False), (p,q,r) = (2, 2, 2): 120 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 120; distinct formation laws 1
C6 (forest False), (p,q,r) = (3, 1, 2): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 17
C6 (forest False), (p,q,r) = (2, 2, 1): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 17
C6 (forest False), (p,q,r) = (2, 1, 1): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 17
C6 (forest False), (p,q,r) = (1, 2, 3): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 17
C6 (forest False), (p,q,r) = (5, 2, 4): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 17
C6 (forest False), (p,q,r) = (2, 2, 2): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 720; distinct formation laws 1
grid2x3 (forest False), (p,q,r) = (3, 1, 2): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 28
grid2x3 (forest False), (p,q,r) = (2, 2, 1): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 28
grid2x3 (forest False), (p,q,r) = (2, 1, 1): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 28
grid2x3 (forest False), (p,q,r) = (1, 2, 3): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 28
grid2x3 (forest False), (p,q,r) = (5, 2, 4): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 0; distinct formation laws 28
grid2x3 (forest False), (p,q,r) = (2, 2, 2): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 720; distinct formation laws 1
spider6 (forest True), (p,q,r) = (3, 1, 2): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 72; distinct formation laws 10
spider6 (forest True), (p,q,r) = (2, 2, 1): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 72; distinct formation laws 10
spider6 (forest True), (p,q,r) = (2, 1, 1): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 72; distinct formation laws 10
spider6 (forest True), (p,q,r) = (1, 2, 3): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 72; distinct formation laws 10
spider6 (forest True), (p,q,r) = (5, 2, 4): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 72; distinct formation laws 10
spider6 (forest True), (p,q,r) = (2, 2, 2): 720 orders; B1 failures 0; B2 failures 0; orders with mu_sigma = mu: 720; distinct formation laws 1
SUMMARY: falsifier 'B1 fails / B2 misclassifies an order' does not fire beyond the note's sizes: every order of P5, star5, C5, C6, the 2x3 grid and a 6-site spider at six triples (36 window-triple pairs, 6^n configurations each, exact integers and a floating direct comparison agreeing) satisfies B1, and mu_sigma = mu exactly when max |A_k| <= 1 (or the rule is constant); cycles and the grid have no coinciding order, trees do
