weights (20.0,1.0,2.0) scale c=0.2069 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.479 0.566 0.427 0.12
     2 0.562 0.605 0.409 0.15
     4 0.577 0.630 0.401 0.11
     9 0.566 0.638 0.387 0.12
    18 0.595 0.667 0.390 0.09
    38 0.628 0.701 0.381 0.05
    79 0.635 0.686 0.386 0.09
   163 0.586 0.738 0.389 0.04
   338 0.682 0.704 0.377 0.10
   700 0.607 0.712 0.383 0.14
  1449 0.653 0.704 0.385 0.07
  3000 0.640 0.705 0.392 0.07
SUMMARY: p=20.0 q=1.0 r=2.0 c=0.2069 rho=0.1 L=24 nbrs=0.627 nbrs_over_random=1.045 aligned=0.706 S=0.10 accept=0.382 records=1396 seconds=134
