weights (6.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.288 0.238 0.371 0.13
     2 1.457 0.273 0.301 0.13
     4 1.599 0.312 0.275 0.11
     9 1.749 0.337 0.278 0.11
    18 1.926 0.364 0.238 0.09
    38 2.066 0.377 0.247 0.07
    79 2.380 0.391 0.222 0.29
   163 2.663 0.394 0.222 0.55
   338 3.175 0.425 0.218 1.08
   700 3.642 0.476 0.220 1.75
  1449 3.865 0.529 0.196 5.79
  3000 4.113 0.596 0.221 9.05
SUMMARY: p=6.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.092 nbrs_over_random=6.820 aligned=0.596 S=8.80 accept=0.204 records=1396 seconds=140
