weights (16.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.629 0.295 0.304 0.36
     2 2.793 0.329 0.196 0.34
     4 2.974 0.364 0.153 0.39
     9 3.172 0.396 0.128 0.44
    18 3.412 0.428 0.107 0.49
    38 3.640 0.459 0.086 0.45
    79 3.911 0.487 0.078 0.30
   163 4.070 0.532 0.066 0.56
   338 4.265 0.587 0.052 0.69
   700 4.444 0.634 0.053 1.22
  1449 4.570 0.685 0.037 1.90
  3000 4.700 0.737 0.040 3.32
SUMMARY: p=16.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.668 nbrs_over_random=2.593 aligned=0.730 S=2.96 accept=0.038 records=4173 seconds=147
