weights (14.0,1.0,2.0) scale c=0.2609 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.547 0.461 0.440 0.14
     2 0.587 0.522 0.428 0.17
     4 0.557 0.581 0.425 0.10
     9 0.583 0.582 0.408 0.16
    18 0.628 0.607 0.416 0.10
    38 0.625 0.647 0.411 0.07
    79 0.660 0.592 0.411 0.07
   163 0.625 0.603 0.413 0.01
   338 0.613 0.659 0.401 0.08
   700 0.612 0.614 0.420 0.03
  1449 0.606 0.610 0.406 0.04
  3000 0.574 0.666 0.415 0.03
SUMMARY: p=14.0 q=1.0 r=2.0 c=0.2609 rho=0.1 L=24 nbrs=0.615 nbrs_over_random=1.024 aligned=0.617 S=0.09 accept=0.409 records=1396 seconds=120
