weights (11.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.138 0.334 0.394 0.40
     2 3.151 0.383 0.314 0.46
     4 3.218 0.427 0.280 0.52
     9 3.303 0.480 0.257 0.65
    18 3.346 0.536 0.241 0.37
    38 3.456 0.608 0.228 0.56
    79 3.575 0.694 0.209 0.05
   163 3.771 0.773 0.197 0.12
   338 3.938 0.836 0.181 0.73
   700 4.169 0.889 0.166 1.47
  1449 4.307 0.919 0.176 2.48
  3000 4.447 0.934 0.175 2.87
SUMMARY: p=11.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.419 nbrs_over_random=1.473 aligned=0.930 S=2.98 accept=0.178 records=6894 seconds=116
