weights (11.0,1.0,2.0) scale c=0.3000 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.842 0.359 0.376 0.38
     2 2.839 0.407 0.303 0.28
     4 2.878 0.456 0.282 0.33
     9 2.938 0.515 0.263 0.21
    18 2.994 0.565 0.258 0.34
    38 3.077 0.628 0.253 0.39
    79 3.201 0.699 0.240 0.28
   163 3.308 0.749 0.236 0.49
   338 3.512 0.828 0.234 0.29
   700 3.698 0.876 0.237 0.34
  1449 3.854 0.908 0.253 2.50
  3000 4.024 0.934 0.255 1.95
SUMMARY: p=11.0 q=1.0 r=2.0 c=0.3000 rho=0.5 L=24 nbrs=3.994 nbrs_over_random=1.331 aligned=0.931 S=2.11 accept=0.257 records=6894 seconds=188
