weights (8.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.723 0.360 0.463 0.14
     2 0.746 0.393 0.439 0.18
     4 0.762 0.447 0.448 0.18
     9 0.774 0.474 0.427 0.13
    18 0.825 0.472 0.433 0.13
    38 0.837 0.507 0.435 0.10
    79 0.789 0.466 0.428 0.08
   163 0.789 0.474 0.438 0.15
   338 0.819 0.458 0.418 0.09
   700 0.778 0.470 0.435 0.06
  1449 0.898 0.482 0.422 0.04
  3000 0.787 0.483 0.438 0.37
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=0.801 nbrs_over_random=1.335 aligned=0.480 S=0.10 accept=0.431 records=1396 seconds=170
