weights (14.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.765 0.421 0.444 0.14
     2 0.851 0.480 0.401 0.19
     4 0.960 0.581 0.376 0.20
     9 0.958 0.593 0.372 0.19
    18 1.034 0.618 0.364 0.12
    38 1.056 0.630 0.368 0.09
    79 1.067 0.660 0.364 0.07
   163 1.090 0.650 0.359 0.16
   338 1.165 0.716 0.344 0.26
   700 1.355 0.724 0.344 0.27
  1449 1.625 0.833 0.356 0.26
  3000 2.249 0.910 0.346 0.69
SUMMARY: p=14.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=2.212 nbrs_over_random=3.687 aligned=0.907 S=0.96 accept=0.344 records=1396 seconds=183
