weights (11.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.014 0.386 0.409 0.33
     2 2.098 0.435 0.342 0.34
     4 2.131 0.473 0.315 0.36
     9 2.228 0.531 0.305 0.51
    18 2.307 0.570 0.295 0.61
    38 2.382 0.624 0.276 0.63
    79 2.546 0.666 0.279 0.87
   163 2.688 0.737 0.272 0.62
   338 3.039 0.817 0.257 1.04
   700 3.365 0.885 0.245 3.68
  1449 3.710 0.926 0.243 5.17
  3000 4.022 0.947 0.245 6.51
SUMMARY: p=11.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=3.926 nbrs_over_random=2.181 aligned=0.944 S=6.77 accept=0.246 records=4173 seconds=135
