weights (7.0,1.0,2.0) scale c=0.3750 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.916 0.323 0.411 0.36
     2 2.950 0.363 0.360 0.33
     4 2.961 0.393 0.342 0.26
     9 2.971 0.432 0.340 0.25
    18 3.015 0.457 0.334 0.13
    38 3.025 0.477 0.332 0.33
    79 3.041 0.511 0.322 0.10
   163 3.096 0.530 0.320 0.26
   338 3.115 0.557 0.325 0.48
   700 3.185 0.609 0.321 1.01
  1449 3.221 0.640 0.331 2.66
  3000 3.344 0.698 0.333 1.83
SUMMARY: p=7.0 q=1.0 r=2.0 c=0.3750 rho=0.5 L=24 nbrs=3.329 nbrs_over_random=1.110 aligned=0.689 S=1.07 accept=0.329 records=6894 seconds=171
