weights (10.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.641 0.261 0.308 0.50
     2 3.746 0.285 0.196 0.46
     4 3.871 0.311 0.157 0.38
     9 4.039 0.341 0.135 0.43
    18 4.208 0.365 0.113 0.43
    38 4.373 0.397 0.104 0.56
    79 4.512 0.431 0.087 0.53
   163 4.688 0.467 0.086 0.58
   338 4.848 0.507 0.075 0.45
   700 4.952 0.554 0.066 1.01
  1449 5.066 0.605 0.055 1.39
  3000 5.150 0.659 0.055 4.00
SUMMARY: p=10.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.142 nbrs_over_random=1.714 aligned=0.650 S=3.90 accept=0.055 records=6894 seconds=178
