weights (12.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.759 0.400 0.450 0.14
     2 0.818 0.448 0.410 0.17
     4 0.874 0.557 0.396 0.17
     9 0.868 0.517 0.398 0.23
    18 0.924 0.592 0.385 0.22
    38 0.937 0.604 0.388 0.18
    79 0.990 0.606 0.371 0.12
   163 0.904 0.612 0.378 0.06
   338 0.987 0.620 0.376 0.17
   700 0.968 0.601 0.381 0.09
  1449 0.968 0.589 0.381 0.14
  3000 0.999 0.621 0.376 0.16
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=0.995 nbrs_over_random=1.658 aligned=0.614 S=0.12 accept=0.382 records=1396 seconds=178
