weights (6.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.069 0.295 0.432 0.39
     2 3.093 0.329 0.379 0.38
     4 3.133 0.360 0.368 0.42
     9 3.139 0.392 0.354 0.70
    18 3.155 0.417 0.353 0.74
    38 3.223 0.430 0.356 0.67
    79 3.213 0.460 0.346 0.26
   163 3.250 0.478 0.340 0.73
   338 3.243 0.479 0.351 1.15
   700 3.287 0.525 0.341 0.32
  1449 3.341 0.556 0.338 1.27
  3000 3.422 0.613 0.339 5.21
SUMMARY: p=6.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=3.408 nbrs_over_random=1.136 aligned=0.598 S=2.74 accept=0.345 records=6894 seconds=169
