weights (10.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.405 0.310 0.364 0.37
     2 2.497 0.351 0.289 0.32
     4 2.626 0.399 0.263 0.34
     9 2.811 0.446 0.235 0.34
    18 2.942 0.485 0.217 0.36
    38 3.093 0.534 0.202 0.45
    79 3.309 0.583 0.187 0.77
   163 3.593 0.660 0.181 0.53
   338 3.883 0.741 0.163 0.98
   700 4.258 0.796 0.147 3.06
  1449 4.430 0.840 0.140 6.20
  3000 4.603 0.872 0.134 17.21
SUMMARY: p=10.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.578 nbrs_over_random=2.543 aligned=0.866 S=14.09 accept=0.135 records=4173 seconds=167
