weights (8.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.017 0.287 0.426 0.13
     2 1.097 0.354 0.385 0.15
     4 1.199 0.404 0.379 0.15
     9 1.245 0.429 0.348 0.13
    18 1.244 0.471 0.349 0.15
    38 1.338 0.505 0.342 0.12
    79 1.436 0.504 0.342 0.28
   163 1.496 0.536 0.324 0.20
   338 1.434 0.479 0.342 0.30
   700 1.701 0.618 0.321 0.47
  1449 1.966 0.665 0.321 0.59
  3000 2.824 0.844 0.316 4.06
SUMMARY: p=8.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=2.673 nbrs_over_random=4.455 aligned=0.795 S=4.22 accept=0.322 records=1396 seconds=180
