weights (7.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.699 0.332 0.471 0.15
     2 0.731 0.365 0.446 0.20
     4 0.754 0.418 0.452 0.23
     9 0.748 0.496 0.434 0.23
    18 0.716 0.440 0.443 0.16
    38 0.761 0.433 0.455 0.18
    79 0.751 0.479 0.452 0.09
   163 0.787 0.423 0.449 0.05
   338 0.804 0.439 0.444 0.08
   700 0.755 0.455 0.440 0.08
  1449 0.768 0.440 0.441 0.13
  3000 0.772 0.430 0.452 0.13
SUMMARY: p=7.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=0.763 nbrs_over_random=1.272 aligned=0.443 S=0.11 accept=0.444 records=1396 seconds=112
