weights (16.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.421 0.345 0.347 0.42
     2 2.527 0.386 0.251 0.46
     4 2.651 0.431 0.220 0.41
     9 2.817 0.488 0.188 0.44
    18 2.977 0.516 0.170 0.49
    38 3.169 0.578 0.156 0.47
    79 3.393 0.643 0.147 0.94
   163 3.750 0.705 0.121 1.10
   338 4.003 0.773 0.103 1.42
   700 4.236 0.816 0.079 2.67
  1449 4.436 0.847 0.075 4.08
  3000 4.592 0.866 0.079 7.28
SUMMARY: p=16.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.574 nbrs_over_random=2.541 aligned=0.856 S=6.97 accept=0.075 records=4173 seconds=112
