weights (16.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.053 0.402 0.389 0.31
     2 2.145 0.457 0.306 0.30
     4 2.218 0.520 0.268 0.21
     9 2.329 0.569 0.259 0.17
    18 2.444 0.628 0.235 0.22
    38 2.640 0.706 0.211 0.30
    79 2.851 0.770 0.207 0.28
   163 3.157 0.838 0.182 0.47
   338 3.473 0.894 0.177 1.45
   700 3.781 0.927 0.156 3.26
  1449 4.012 0.950 0.152 4.39
  3000 4.268 0.968 0.152 4.33
SUMMARY: p=16.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=4.237 nbrs_over_random=2.354 aligned=0.965 S=3.72 accept=0.146 records=4173 seconds=183
