weights (20.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.180 0.360 0.362 0.44
     2 3.214 0.407 0.260 0.51
     4 3.278 0.461 0.220 0.62
     9 3.369 0.529 0.188 0.69
    18 3.430 0.593 0.160 0.58
    38 3.607 0.662 0.147 0.60
    79 3.740 0.738 0.121 0.72
   163 3.918 0.802 0.111 1.14
   338 4.109 0.844 0.100 1.03
   700 4.271 0.883 0.095 1.73
  1449 4.431 0.913 0.084 0.97
  3000 4.609 0.934 0.076 0.58
SUMMARY: p=20.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.579 nbrs_over_random=1.526 aligned=0.929 S=0.34 accept=0.081 records=6894 seconds=112
