weights (9.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.319 0.256 0.366 0.12
     2 1.464 0.283 0.287 0.14
     4 1.612 0.364 0.245 0.14
     9 1.825 0.399 0.238 0.21
    18 2.000 0.412 0.218 0.28
    38 2.268 0.449 0.204 0.37
    79 2.666 0.466 0.196 0.37
   163 2.938 0.504 0.193 0.78
   338 3.457 0.534 0.163 1.37
   700 3.830 0.612 0.130 1.98
  1449 4.110 0.661 0.130 2.74
  3000 4.304 0.740 0.127 4.90
SUMMARY: p=9.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.225 nbrs_over_random=7.042 aligned=0.729 S=4.15 accept=0.127 records=1396 seconds=111
