weights (20.0,1.0,2.0) scale c=0.2069 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.518 0.490 0.354 0.22
     2 1.610 0.553 0.284 0.22
     4 1.635 0.611 0.271 0.17
     9 1.757 0.665 0.251 0.29
    18 1.850 0.703 0.250 0.10
    38 1.959 0.757 0.242 0.25
    79 2.155 0.817 0.238 0.37
   163 2.435 0.866 0.235 0.66
   338 2.705 0.914 0.230 1.40
   700 2.920 0.943 0.238 4.24
  1449 3.261 0.956 0.247 6.17
  3000 3.557 0.970 0.256 3.68
SUMMARY: p=20.0 q=1.0 r=2.0 c=0.2069 rho=0.3 L=24 nbrs=3.448 nbrs_over_random=1.915 aligned=0.967 S=6.83 accept=0.259 records=4173 seconds=117
