weights (6.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.918 0.333 0.446 0.29
     2 1.941 0.361 0.411 0.29
     4 1.981 0.386 0.400 0.24
     9 2.018 0.400 0.399 0.30
    18 2.042 0.410 0.400 0.26
    38 2.076 0.422 0.391 0.25
    79 2.039 0.433 0.391 0.35
   163 2.025 0.422 0.392 0.49
   338 2.064 0.415 0.397 0.29
   700 2.025 0.415 0.396 0.40
  1449 2.066 0.433 0.390 0.13
  3000 2.086 0.424 0.390 0.54
SUMMARY: p=6.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=2.040 nbrs_over_random=1.133 aligned=0.423 S=0.32 accept=0.394 records=4173 seconds=121
