weights (8.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.639 0.253 0.310 0.53
     2 3.735 0.273 0.203 0.48
     4 3.865 0.302 0.182 0.47
     9 4.060 0.330 0.142 0.36
    18 4.204 0.357 0.123 0.22
    38 4.370 0.377 0.118 0.29
    79 4.543 0.407 0.101 0.24
   163 4.724 0.442 0.093 0.32
   338 4.851 0.482 0.084 0.15
   700 5.004 0.524 0.076 0.77
  1449 5.092 0.583 0.078 1.12
  3000 5.174 0.631 0.071 1.84
SUMMARY: p=8.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.153 nbrs_over_random=1.718 aligned=0.622 S=1.60 accept=0.072 records=6894 seconds=117
