weights (9.0,1.0,2.0) scale c=0.3333 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.573 0.385 0.464 0.14
     2 0.579 0.473 0.446 0.15
     4 0.619 0.498 0.453 0.14
     9 0.599 0.519 0.433 0.11
    18 0.572 0.531 0.426 0.10
    38 0.593 0.490 0.443 0.09
    79 0.612 0.532 0.427 0.11
   163 0.599 0.486 0.435 0.11
   338 0.646 0.466 0.432 0.12
   700 0.564 0.528 0.430 0.09
  1449 0.586 0.516 0.444 0.07
  3000 0.619 0.458 0.441 0.12
SUMMARY: p=9.0 q=1.0 r=2.0 c=0.3333 rho=0.1 L=24 nbrs=0.609 nbrs_over_random=1.015 aligned=0.505 S=0.10 accept=0.440 records=1396 seconds=115
