weights (7.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.652 0.256 0.319 0.39
     2 2.823 0.283 0.226 0.36
     4 3.011 0.305 0.195 0.44
     9 3.225 0.330 0.167 0.52
    18 3.426 0.350 0.160 0.52
    38 3.640 0.377 0.139 0.62
    79 3.970 0.395 0.121 0.63
   163 4.167 0.436 0.116 0.87
   338 4.429 0.470 0.116 1.81
   700 4.632 0.518 0.122 3.17
  1449 4.822 0.587 0.105 3.93
  3000 4.962 0.636 0.097 8.78
SUMMARY: p=7.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.939 nbrs_over_random=2.744 aligned=0.619 S=7.17 accept=0.101 records=4173 seconds=184
