weights (11.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.641 0.280 0.310 0.35
     2 2.820 0.310 0.213 0.29
     4 2.983 0.338 0.167 0.35
     9 3.211 0.372 0.144 0.37
    18 3.408 0.402 0.122 0.36
    38 3.652 0.435 0.121 0.51
    79 3.913 0.473 0.099 0.61
   163 4.116 0.509 0.087 0.61
   338 4.348 0.546 0.075 1.15
   700 4.497 0.597 0.067 2.33
  1449 4.650 0.656 0.061 4.60
  3000 4.812 0.706 0.055 8.87
SUMMARY: p=11.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.772 nbrs_over_random=2.651 aligned=0.694 S=7.75 accept=0.057 records=4173 seconds=113
