weights (11.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.029 0.305 0.421 0.13
     2 1.148 0.377 0.373 0.14
     4 1.278 0.436 0.335 0.10
     9 1.433 0.473 0.308 0.11
    18 1.497 0.508 0.298 0.19
    38 1.609 0.555 0.299 0.16
    79 1.722 0.625 0.266 0.24
   163 1.781 0.623 0.306 0.72
   338 2.169 0.721 0.265 0.60
   700 2.590 0.775 0.270 0.99
  1449 3.466 0.896 0.235 4.11
  3000 3.827 0.928 0.217 8.42
SUMMARY: p=11.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.743 nbrs_over_random=6.238 aligned=0.927 S=6.27 accept=0.222 records=1396 seconds=108
