weights (20.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.782 0.452 0.433 0.15
     2 0.880 0.529 0.377 0.16
     4 0.974 0.626 0.348 0.16
     9 1.032 0.633 0.339 0.14
    18 1.115 0.706 0.310 0.19
    38 1.288 0.737 0.311 0.14
    79 1.351 0.769 0.299 0.06
   163 1.484 0.797 0.291 0.17
   338 1.794 0.874 0.273 0.40
   700 2.520 0.938 0.264 1.02
  1449 3.215 0.968 0.258 1.74
  3000 3.705 0.989 0.232 2.23
SUMMARY: p=20.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=3.621 nbrs_over_random=6.034 aligned=0.980 S=2.54 accept=0.230 records=1396 seconds=110
