weights (20.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.423 0.353 0.343 0.41
     2 2.514 0.405 0.235 0.44
     4 2.619 0.458 0.202 0.48
     9 2.846 0.499 0.170 0.46
    18 2.991 0.546 0.152 0.52
    38 3.201 0.602 0.133 0.51
    79 3.454 0.649 0.114 0.36
   163 3.659 0.722 0.102 0.40
   338 3.936 0.782 0.077 0.48
   700 4.124 0.828 0.069 1.09
  1449 4.308 0.856 0.067 1.76
  3000 4.542 0.865 0.054 3.56
SUMMARY: p=20.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.509 nbrs_over_random=2.505 aligned=0.865 S=2.94 accept=0.056 records=4173 seconds=114
