weights (4.0,1.0,2.0) scale c=0.4615 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.966 0.261 0.455 0.40
     2 2.984 0.280 0.430 0.40
     4 2.976 0.291 0.415 0.42
     9 2.991 0.310 0.421 0.38
    18 3.006 0.317 0.419 0.33
    38 2.993 0.319 0.424 0.17
    79 2.971 0.312 0.416 0.41
   163 2.986 0.328 0.418 0.24
   338 3.008 0.318 0.424 0.27
   700 3.013 0.314 0.419 0.40
  1449 3.023 0.321 0.421 0.22
  3000 3.015 0.321 0.421 0.21
SUMMARY: p=4.0 q=1.0 r=2.0 c=0.4615 rho=0.5 L=24 nbrs=2.998 nbrs_over_random=0.999 aligned=0.318 S=0.23 accept=0.421 records=6894 seconds=120
