weights (10.0,1.0,2.0) scale c=0.3158 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.873 0.352 0.382 0.35
     2 2.847 0.398 0.311 0.40
     4 2.929 0.437 0.292 0.36
     9 2.956 0.493 0.278 0.51
    18 3.011 0.535 0.279 0.17
    38 3.088 0.598 0.264 0.23
    79 3.163 0.652 0.251 0.36
   163 3.258 0.714 0.254 0.22
   338 3.450 0.794 0.253 0.41
   700 3.612 0.853 0.255 1.55
  1449 3.744 0.880 0.263 3.87
  3000 3.863 0.904 0.268 6.25
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.3158 rho=0.5 L=24 nbrs=3.867 nbrs_over_random=1.289 aligned=0.907 S=5.35 accept=0.269 records=6894 seconds=114
