weights (14.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.165 0.347 0.379 0.41
     2 3.182 0.395 0.289 0.44
     4 3.262 0.441 0.251 0.47
     9 3.322 0.498 0.227 0.38
    18 3.422 0.559 0.209 0.33
    38 3.504 0.635 0.192 0.17
    79 3.694 0.716 0.170 0.33
   163 3.857 0.798 0.148 0.24
   338 4.051 0.853 0.140 0.64
   700 4.235 0.892 0.131 0.78
  1449 4.395 0.918 0.134 1.80
  3000 4.604 0.940 0.127 3.58
SUMMARY: p=14.0 q=1.0 r=2.0 c=0.5000 rho=0.5 L=24 nbrs=4.564 nbrs_over_random=1.521 aligned=0.939 S=3.69 accept=0.129 records=6894 seconds=117
