weights (9.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.742 0.378 0.458 0.15
     2 0.768 0.416 0.428 0.17
     4 0.828 0.484 0.438 0.14
     9 0.852 0.494 0.414 0.14
    18 0.842 0.500 0.413 0.16
    38 0.825 0.505 0.407 0.01
    79 0.862 0.517 0.428 0.15
   163 0.821 0.524 0.417 0.01
   338 0.861 0.536 0.414 0.24
   700 0.828 0.536 0.421 0.16
  1449 0.838 0.492 0.419 0.08
  3000 0.830 0.484 0.422 0.14
SUMMARY: p=9.0 q=1.0 r=2.0 c=0.5000 rho=0.1 L=24 nbrs=0.847 nbrs_over_random=1.412 aligned=0.517 S=0.12 accept=0.419 records=1396 seconds=116
