weights (11.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.327 0.267 0.364 0.12
     2 1.418 0.306 0.280 0.14
     4 1.612 0.369 0.239 0.16
     9 1.854 0.411 0.212 0.21
    18 2.001 0.447 0.191 0.30
    38 2.307 0.455 0.187 0.47
    79 2.573 0.497 0.178 0.79
   163 3.060 0.529 0.145 0.80
   338 3.383 0.585 0.141 1.14
   700 3.875 0.613 0.122 1.29
  1449 4.229 0.700 0.112 3.16
  3000 4.360 0.755 0.087 4.94
SUMMARY: p=11.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.339 nbrs_over_random=7.232 aligned=0.744 S=4.16 accept=0.097 records=1396 seconds=155
