weights (6.0,1.0,2.0) scale c=0.4000 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.567 0.328 0.475 0.13
     2 0.600 0.351 0.464 0.16
     4 0.609 0.398 0.475 0.18
     9 0.617 0.392 0.462 0.12
    18 0.596 0.389 0.469 0.04
    38 0.589 0.367 0.470 0.17
    79 0.582 0.377 0.468 0.02
   163 0.632 0.424 0.452 0.06
   338 0.619 0.431 0.459 0.06
   700 0.596 0.404 0.453 0.09
  1449 0.582 0.392 0.457 0.08
  3000 0.617 0.413 0.466 0.07
SUMMARY: p=6.0 q=1.0 r=2.0 c=0.4000 rho=0.1 L=24 nbrs=0.606 nbrs_over_random=1.011 aligned=0.403 S=0.09 accept=0.464 records=1396 seconds=112
