weights (9.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.404 0.288 0.367 0.37
     2 3.502 0.322 0.280 0.34
     4 3.615 0.361 0.238 0.36
     9 3.733 0.396 0.210 0.33
    18 3.816 0.437 0.201 0.29
    38 3.953 0.486 0.182 0.35
    79 4.120 0.544 0.175 0.32
   163 4.272 0.610 0.159 0.65
   338 4.461 0.687 0.149 0.53
   700 4.672 0.739 0.130 0.22
  1449 4.829 0.791 0.124 1.27
  3000 4.970 0.835 0.134 0.46
SUMMARY: p=9.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.972 nbrs_over_random=1.657 aligned=0.823 S=1.14 accept=0.126 records=6894 seconds=179
