weights (9.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.659 0.268 0.317 0.37
     2 2.842 0.298 0.220 0.38
     4 2.974 0.323 0.180 0.43
     9 3.226 0.351 0.159 0.50
    18 3.476 0.374 0.136 0.61
    38 3.689 0.405 0.127 0.92
    79 3.919 0.440 0.096 1.04
   163 4.157 0.473 0.103 1.12
   338 4.405 0.517 0.086 1.48
   700 4.544 0.569 0.081 1.91
  1449 4.735 0.627 0.077 2.74
  3000 4.879 0.689 0.060 6.93
SUMMARY: p=9.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.842 nbrs_over_random=2.690 aligned=0.680 S=5.69 accept=0.070 records=4173 seconds=113
