weights (6.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.630 0.245 0.320 0.53
     2 3.735 0.262 0.215 0.52
     4 3.873 0.285 0.187 0.42
     9 4.064 0.310 0.153 0.47
    18 4.216 0.333 0.142 0.51
    38 4.400 0.357 0.132 0.47
    79 4.547 0.374 0.124 0.47
   163 4.712 0.396 0.114 0.89
   338 4.871 0.428 0.115 0.52
   700 5.007 0.464 0.116 0.80
  1449 5.113 0.514 0.107 0.75
  3000 5.238 0.580 0.100 1.16
SUMMARY: p=6.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.214 nbrs_over_random=1.738 aligned=0.564 S=0.73 accept=0.103 records=6894 seconds=114
