weights (12.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.398 0.327 0.357 0.39
     2 2.505 0.365 0.275 0.41
     4 2.618 0.417 0.249 0.40
     9 2.800 0.454 0.211 0.42
    18 2.926 0.512 0.188 0.43
    38 3.110 0.558 0.183 0.61
    79 3.334 0.600 0.174 0.85
   163 3.613 0.689 0.148 1.60
   338 3.924 0.764 0.133 2.45
   700 4.149 0.808 0.123 4.14
  1449 4.391 0.845 0.116 6.31
  3000 4.651 0.870 0.113 8.30
SUMMARY: p=12.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.602 nbrs_over_random=2.556 aligned=0.871 S=7.96 accept=0.107 records=4173 seconds=114
