weights (14.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.327 0.279 0.362 0.12
     2 1.431 0.327 0.272 0.13
     4 1.576 0.397 0.228 0.12
     9 1.821 0.401 0.215 0.17
    18 1.979 0.479 0.178 0.23
    38 2.213 0.488 0.185 0.32
    79 2.688 0.518 0.149 0.29
   163 3.135 0.564 0.135 0.41
   338 3.514 0.615 0.102 0.78
   700 3.713 0.673 0.112 0.76
  1449 4.102 0.745 0.077 1.42
  3000 4.252 0.780 0.065 2.81
SUMMARY: p=14.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.206 nbrs_over_random=7.009 aligned=0.777 S=2.66 accept=0.071 records=1396 seconds=111
