weights (10.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.331 0.260 0.366 0.12
     2 1.448 0.291 0.283 0.15
     4 1.595 0.367 0.246 0.16
     9 1.860 0.390 0.222 0.18
    18 2.052 0.425 0.195 0.14
    38 2.249 0.462 0.198 0.21
    79 2.613 0.504 0.187 0.42
   163 2.928 0.523 0.182 0.70
   338 3.352 0.583 0.144 0.76
   700 3.768 0.634 0.121 1.14
  1449 4.086 0.711 0.105 2.15
  3000 4.232 0.751 0.123 2.69
SUMMARY: p=10.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.254 nbrs_over_random=7.090 aligned=0.730 S=2.66 accept=0.111 records=1396 seconds=110
