weights (11.0,1.0,2.0) scale c=0.3000 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.649 0.421 0.400 0.30
     2 1.685 0.458 0.350 0.30
     4 1.796 0.521 0.336 0.38
     9 1.818 0.540 0.330 0.45
    18 1.875 0.582 0.329 0.34
    38 1.935 0.612 0.315 0.27
    79 1.925 0.624 0.323 0.33
   163 1.968 0.637 0.313 0.50
   338 2.031 0.661 0.314 0.19
   700 2.074 0.698 0.322 0.81
  1449 2.346 0.784 0.316 3.11
  3000 2.682 0.848 0.328 4.86
SUMMARY: p=11.0 q=1.0 r=2.0 c=0.3000 rho=0.3 L=24 nbrs=2.580 nbrs_over_random=1.433 aligned=0.832 S=4.75 accept=0.326 records=4173 seconds=159
