weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.813 0.370 0.370 0.39
     2 2.838 0.418 0.290 0.28
     4 2.869 0.469 0.268 0.35
     9 2.960 0.523 0.251 0.30
    18 3.035 0.580 0.250 0.26
    38 3.070 0.649 0.238 0.11
    79 3.229 0.714 0.219 0.07
   163 3.385 0.798 0.219 0.30
   338 3.563 0.860 0.219 0.36
   700 3.722 0.896 0.225 1.04
  1449 3.899 0.922 0.229 3.09
  3000 4.059 0.938 0.245 5.69
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.5 L=24 nbrs=4.004 nbrs_over_random=1.335 aligned=0.937 S=5.54 accept=0.239 records=6894 seconds=154
