weights (20.0,1.0,2.0) scale c=2.0000 (2) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.639 0.305 0.300 0.37
     2 2.786 0.340 0.190 0.34
     4 2.962 0.374 0.151 0.34
     9 3.168 0.407 0.113 0.44
    18 3.357 0.436 0.096 0.51
    38 3.591 0.462 0.083 0.78
    79 3.792 0.509 0.071 0.63
   163 4.012 0.551 0.057 0.92
   338 4.197 0.604 0.051 1.15
   700 4.358 0.653 0.046 1.66
  1449 4.517 0.699 0.037 2.46
  3000 4.632 0.741 0.026 3.87
SUMMARY: p=20.0 q=1.0 r=2.0 c=2.0000 rho=0.3 L=24 nbrs=4.602 nbrs_over_random=2.557 aligned=0.732 S=3.76 accept=0.029 records=4173 seconds=135
