weights (4.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.851 0.275 0.471 0.31
     2 1.874 0.290 0.449 0.22
     4 1.903 0.308 0.450 0.20
     9 1.843 0.294 0.450 0.16
    18 1.896 0.306 0.454 0.03
    38 1.884 0.299 0.451 0.16
    79 1.882 0.306 0.445 0.28
   163 1.873 0.302 0.456 0.24
   338 1.896 0.303 0.453 0.18
   700 1.876 0.314 0.444 0.08
  1449 1.849 0.304 0.441 0.16
  3000 1.874 0.313 0.453 0.24
SUMMARY: p=4.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=1.885 nbrs_over_random=1.047 aligned=0.311 S=0.26 accept=0.447 records=4173 seconds=116
