weights (7.0,1.0,2.0) scale c=0.5000 (0.5) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.956 0.349 0.437 0.28
     2 1.991 0.380 0.395 0.26
     4 2.068 0.414 0.388 0.23
     9 2.060 0.442 0.371 0.25
    18 2.105 0.459 0.366 0.19
    38 2.065 0.466 0.367 0.16
    79 2.170 0.474 0.362 0.22
   163 2.116 0.474 0.365 0.34
   338 2.152 0.487 0.371 0.03
   700 2.139 0.500 0.365 0.29
  1449 2.166 0.480 0.359 0.59
  3000 2.133 0.476 0.373 0.20
SUMMARY: p=7.0 q=1.0 r=2.0 c=0.5000 rho=0.3 L=24 nbrs=2.129 nbrs_over_random=1.183 aligned=0.480 S=0.27 accept=0.367 records=4173 seconds=115
