weights (9.0,1.0,2.0) scale c=2.0000 (2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.641 0.257 0.310 0.49
     2 3.722 0.280 0.199 0.49
     4 3.862 0.307 0.164 0.44
     9 4.059 0.335 0.127 0.46
    18 4.191 0.360 0.121 0.44
    38 4.345 0.390 0.104 0.37
    79 4.556 0.415 0.094 0.25
   163 4.681 0.459 0.095 0.38
   338 4.848 0.501 0.083 0.58
   700 4.990 0.546 0.072 0.80
  1449 5.075 0.604 0.061 2.26
  3000 5.146 0.660 0.059 5.42
SUMMARY: p=9.0 q=1.0 r=2.0 c=2.0000 rho=0.5 L=24 nbrs=5.145 nbrs_over_random=1.715 aligned=0.655 S=4.24 accept=0.059 records=6894 seconds=114
