weights (16.0,1.0,2.0) scale c=2.0000 (2) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.315 0.286 0.360 0.12
     2 1.431 0.335 0.269 0.12
     4 1.607 0.410 0.222 0.11
     9 1.868 0.442 0.198 0.17
    18 2.087 0.489 0.174 0.16
    38 2.275 0.523 0.176 0.21
    79 2.663 0.554 0.140 0.30
   163 3.076 0.562 0.115 0.34
   338 3.391 0.621 0.099 0.40
   700 3.688 0.670 0.093 0.44
  1449 3.901 0.758 0.067 1.09
  3000 4.125 0.797 0.069 2.13
SUMMARY: p=16.0 q=1.0 r=2.0 c=2.0000 rho=0.1 L=24 nbrs=4.071 nbrs_over_random=6.786 aligned=0.797 S=1.79 accept=0.064 records=1396 seconds=112
