weights (7.0,1.0,2.0) scale c=0.3750 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.722 0.366 0.432 0.25
     2 1.745 0.384 0.396 0.26
     4 1.778 0.427 0.393 0.28
     9 1.806 0.435 0.387 0.30
    18 1.768 0.451 0.394 0.19
    38 1.843 0.439 0.386 0.13
    79 1.846 0.446 0.384 0.23
   163 1.881 0.462 0.373 0.12
   338 1.831 0.475 0.377 0.13
   700 1.828 0.476 0.382 0.13
  1449 1.857 0.452 0.386 0.12
  3000 1.836 0.453 0.387 0.34
SUMMARY: p=7.0 q=1.0 r=2.0 c=0.3750 rho=0.3 L=24 nbrs=1.841 nbrs_over_random=1.023 aligned=0.462 S=0.23 accept=0.385 records=4173 seconds=131
