weights (9.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.017 0.294 0.423 0.13
     2 1.132 0.367 0.379 0.14
     4 1.198 0.420 0.363 0.14
     9 1.305 0.430 0.347 0.17
    18 1.403 0.484 0.309 0.24
    38 1.448 0.512 0.335 0.18
    79 1.467 0.539 0.319 0.39
   163 1.560 0.569 0.333 0.51
   338 1.764 0.621 0.296 1.72
   700 2.070 0.685 0.311 2.28
  1449 2.872 0.769 0.310 11.05
  3000 3.519 0.870 0.276 20.10
SUMMARY: p=9.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.455 nbrs_over_random=5.759 aligned=0.856 S=19.26 accept=0.287 records=1396 seconds=120
