weights (9.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.393 0.307 0.369 0.35
     2 2.473 0.345 0.299 0.33
     4 2.603 0.395 0.267 0.37
     9 2.767 0.423 0.247 0.27
    18 2.890 0.457 0.232 0.20
    38 3.108 0.504 0.218 0.12
    79 3.279 0.550 0.214 0.46
   163 3.489 0.620 0.209 1.94
   338 3.804 0.695 0.184 4.18
   700 4.123 0.772 0.180 5.32
  1449 4.363 0.838 0.165 6.02
  3000 4.587 0.862 0.158 11.25
SUMMARY: p=9.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.579 nbrs_over_random=2.544 aligned=0.857 S=10.12 accept=0.162 records=4173 seconds=114
